,DateTime,Year,Month,Day,City,Country,Operator,Type,Company,Route,Aboard,Fatalities,Ground,Survivors,Flight Type,Phase,Cause,Summary
31,1920-04-11 00:00:00,1920,4,Sunday,Heller Field, New Jersey,US AERIAL MAIL SERVICE,Curtiss JN-4H,Curtiss,,2.0,1.0,0.0,1.0,cargo,unknown,unknown,
32,1920-05-12 00:00:00,1920,5,Wednesday,Oskaloosa, Iowa,US AERIAL MAIL SERVICE,De Havilland DH-4,Havilland,,2.0,1.0,0.0,1.0,cargo,unknown,unknown,
33,1920-06-06 00:00:00,1920,6,Sunday,Cleveland, Ohio,US AERIAL MAIL SERVICE,De Havilland DH-4,Havilland,,1.0,1.0,0.0,0.0,cargo,unknown,unknown,
34,1920-08-16 00:00:00,1920,8,Monday,Bedford, England,BY AIR,Armstrong-Whitworth F-K-8,Armstrong-Whitworth,,1.0,1.0,0.0,0.0,passenger,unknown,unknown,
35,1920-08-16 00:00:00,1920,8,Monday,College Park, Maryland,US AERIAL MAIL SERVICE,De Havilland DH-4,Havilland,,1.0,1.0,0.0,0.0,cargo,unknown,unknown,
36,1920-09-01 00:00:00,1920,9,Wednesday,Morristown, New Jersey,US AERIAL MAIL SERVICE,Junkers JL-6,Junkers,,2.0,2.0,0.0,0.0,cargo,unknown,unknown,
37,1920-09-15 00:00:00,1920,9,Wednesday,Pemberville, Ohio,US AERIAL MAIL SERVICE,Junkers F-13,Junkers,,2.0,2.0,0.0,0.0,cargo,unknown,unknown,
38,1920-09-27 00:00:00,1920,9,Monday,Hillersburg, Pennsylvania,US AERIAL MAIL SERVICE,De Havilland DH-4,Havilland,,1.0,1.0,0.0,0.0,cargo,unknown,unknown,
39,1920-10-02 00:00:00,1920,10,Saturday,Off Port Vendres, France,LATECOERE AIRLINES,Salmson 2-A-2,Salmson,,2.0,2.0,0.0,0.0,passenger,unknown,unknown,
40,1920-10-05 00:00:00,1920,10,Tuesday,Valencia, Spain,LATECOERE AIRLINES,Breguet 14,Breguet,,2.0,2.0,0.0,0.0,passenger,While landing,unknown,crashed while landing.
41,1920-10-15 00:00:00,1920,10,Friday,Batavia, Illinois,US AERIAL MAIL SERVICE,De Havilland DH-4,Havilland,,1.0,1.0,0.0,0.0,cargo,unknown,unknown,
42,1920-11-07 00:00:00,1920,11,Sunday,Tie Siding, Wyoming,US AERIAL MAIL SERVICE,De Havilland DH-4,Havilland,,1.0,1.0,0.0,0.0,cargo,unknown,unknown,
43,1920-12-14 00:00:00,1920,12,Tuesday,Cricklewood, England,HANDLEY PAGE TRANSPORT,Handley Page HP-16,Handley,,8.0,4.0,0.0,4.0,cargo,unknown,Weather conditions,crashed into a tree on take off in fog.
44,1920-12-24 00:00:00,1920,12,Friday,Barcelona, Spain,AEROPOSTALE,Breguet 14,Breguet,,1.0,1.0,0.0,0.0,passenger,unknown,unknown,
45,1921-02-03 00:00:00,1921,2,Thursday,Mendotta, Minnisota,US AERIAL MAIL SERVICE,De Havilland DH-4,Havilland,,1.0,1.0,0.0,0.0,cargo,unknown,unknown,
46,1921-02-09 00:00:00,1921,2,Wednesday,La Crosse, Wisconsin,US AERIAL MAIL SERVICE,Junkers F-13,Junkers,,3.0,3.0,0.0,0.0,cargo,unknown,unknown,
47,1921-02-15 00:00:00,1921,2,Tuesday,Off Gibraltar,,AEROPOSTALE,Breguet 14,Breguet,,2.0,2.0,0.0,0.0,passenger,unknown,unknown,
48,1921-02-22 00:00:00,1921,2,Tuesday,Elko, Nevada,US AERIAL MAIL SERVICE,De Havilland DH-4,Havilland,,1.0,1.0,0.0,0.0,cargo,unknown,unknown,
49,1921-04-06 00:00:00,1921,4,Wednesday,Point Cook, Australia,MILITARY - ROYAL AUSTRALIAN AIR FORCE,,,,2.0,1.0,0.0,1.0,military,unknown,unknown,
50,1921-04-21 00:00:00,1921,4,Thursday,Mitchel Field, NY,US AERIAL MAIL SERVICE,De Havilland DH-4,Havilland,,1.0,1.0,0.0,0.0,cargo,unknown,unknown,
51,1921-04-29 00:00:00,1921,4,Friday,Cleveland, Ohio,US AERIAL MAIL SERVICE,De Havilland DH-4,Havilland,,1.0,1.0,0.0,0.0,cargo,unknown,unknown,
52,1921-05-17 00:00:00,1921,5,Tuesday,Rock Springs, Wyoming,US AERIAL MAIL SERVICE,,,,1.0,1.0,0.0,0.0,cargo,unknown,unknown,
53,1921-07-16 00:00:00,1921,7,Saturday,San Francisco, California,US AERIAL MAIL SERVICE,De Havilland DH-4,Havilland,,1.0,1.0,0.0,0.0,cargo,unknown,unknown,
54,1921-08-14 00:00:00,1921,8,Sunday,Toulouse, France,AEROPOSTALE,Breguet 14,Breguet,,2.0,2.0,0.0,0.0,passenger,unknown,unknown,
55,1921-08-24 17:40:00,1921,8,Wednesday,River Humber, England,MILITARY - ROYAL AIRSHIP WORKS,Royal Airship Works ZR-2 (airship),Royal,,46.0,46.0,1.0,0.0,military,unknown,Fire,crashed due to structural failure followed by two explosions and a fire. attributed to faulty design.
56,1921-09-06 00:00:00,1921,9,Tuesday,Paris, France,FRANCO-ROUMAINE,Potez IX,Potez,Varsovie - Strasbourg - Paris,5.0,5.0,0.0,0.0,passenger,unknown,unknown,crashed while making an approach to le bourget airport in paris.
57,1921-12-05 00:00:00,1921,12,Monday,Near Murchinson River, Australia,WEST AUSTRALIAN AIRWAYS,Bristol 28 Tourer,Bristol,,3.0,3.0,0.0,0.0,passenger,unknown,unknown,
58,1922-01-14 00:00:00,1922,1,Saturday,Paris, France,HANDLEY PAGE TRANSPORT,Handley Page O/10,Handley,,5.0,5.0,5.0,0.0,cargo,unknown,unknown,crashed at le bourget field.
59,1922-02-21 00:00:00,1922,2,Tuesday,Near Norfolk, Virginia,MILITARY - U.S. ARMY AIR SERVICE,Dirigible Roma (airship),Dirigible,,45.0,34.0,0.0,11.0,cargo,unknown,unknown,crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.
60,1922-04-07 00:00:00,1922,4,Friday,Grandvilliers, France,DAIMLER AIRWAYS / GRANDS EXPRESS AERIENS,de Havilland DH-18 / Farman F-60 Goliath,Havilland,,7.0,7.0,0.0,0.0,cargo,While landing,unknown,"a midair collision occurred in poor visibility approximately 18 miles north of beauvais, france. this was the  first commercial midair collision in aviation history. two killed on the de havilland, five on the faman f-60."
61,1922-04-08 00:00:00,1922,4,Saturday,Pao Ting Fou, China,,,,,17.0,17.0,0.0,0.0,passenger,unknown,unknown,all seventeen aboard were chinese nationals.
62,1922-04-13 00:00:00,1922,4,Thursday,Brooklands, England,VICKERS,Vickers Viking,Vickers,,3.0,3.0,0.0,0.0,passenger,unknown,unknown,
63,1925-10-01 00:00:00,1925,10,Thursday,Nittany Mt, Ohio,US AERIAL MAIL SERVICE,De Havilland DH-4,Havilland,,1.0,1.0,0.0,0.0,cargo,unknown,unknown,
64,1922-06-03 00:00:00,1922,6,Saturday,Off Folkestone, Kent,CIE DES MESSAGERIES AERIENNES,Bleriot Spad 27,Bleriot,,3.0,3.0,0.0,0.0,passenger,unknown,unknown,
65,1922-07-26 00:00:00,1922,7,Wednesday,Cadix, Spain,GRANDS EXPRESS AERIENS,Breguet 14,Breguet,,3.0,3.0,0.0,0.0,cargo,unknown,unknown,
66,1922-09-07 00:00:00,1922,9,Thursday,Indianapolis, Indiana,US AERIAL MAIL SERVICE,De Havilland DH-4,Havilland,,1.0,1.0,0.0,0.0,cargo,unknown,unknown,
67,1922-10-02 00:00:00,1922,10,Monday,Venice, Italy,,de Havilland DH-9,Havilland,,4.0,4.0,0.0,0.0,passenger,unknown,unknown,
68,1922-10-25 00:00:00,1922,10,Wednesday,Larache, Morocco,GRANDS EXPRESS AERIENS,Breguet 14,Breguet,,2.0,2.0,0.0,0.0,cargo,unknown,unknown,
69,1922-12-03 00:00:00,1922,12,Sunday,Fez, Morocco,GRANDS EXPRESS AERIENS,Breguet 14,Breguet,,1.0,1.0,0.0,0.0,cargo,unknown,unknown,
70,1923-01-10 00:00:00,1923,1,Wednesday,Ajaccio, France,AMEE DE L'AIR,Lioré-et-Olivier H-13,Lioré-et-Olivier,,4.0,3.0,0.0,1.0,passenger,unknown,unknown,
71,1923-01-17 00:00:00,1923,1,Wednesday,Barcelona, Spain,GRANDS EXPRESS AERIENS,Breguet 14,Breguet,,1.0,1.0,0.0,0.0,cargo,unknown,unknown,
72,1923-01-18 00:00:00,1923,1,Thursday,Cheyenne, Wyoming,US AERIAL MAIL SERVICE,De Havilland DH-4,Havilland,,1.0,1.0,0.0,0.0,cargo,unknown,unknown,
73,1923-02-26 00:00:00,1923,2,Monday,Meadville, Pennsylvania,US AERIAL MAIL SERVICE,De Havilland DH-4,Havilland,,1.0,1.0,0.0,0.0,cargo,unknown,unknown,
74,1923-05-14 00:00:00,1923,5,Monday,Monsures, France,GRANDS EXPRESS AERIENS,Farman F-60 Goliath,Farman,,6.0,6.0,0.0,0.0,cargo,unknown,unknown,
75,1923-08-27 00:00:00,1923,8,Monday,Bucharest, Romania,CAMPAGNIE FRANCE ROUMAINE,Blériot Spad 46,Blériot,,2.0,2.0,0.0,0.0,passenger,unknown,unknown,
76,1923-09-07 00:00:00,1923,9,Friday,Colton, Ohio,US AERIAL MAIL SERVICE,De Havilland DH-4,Havilland,,1.0,1.0,0.0,0.0,cargo,unknown,unknown,
77,1923-09-14 00:00:00,1923,9,Friday,Berks, England,DAIMLER AIRWAYS,de Havilland DH-34,Havilland,,6.0,6.0,0.0,0.0,passenger,unknown,unknown,
78,1923-11-18 00:00:00,1923,11,Sunday,Russia,,CCCP,Junkers F-13,Junkers,,4.0,2.0,0.0,2.0,passenger,unknown,unknown,
79,1923-12-06 00:00:00,1923,12,Thursday,Castalia, Ohio,US AERIAL MAIL SERVICE,De Havilland DH-4,Havilland,,1.0,1.0,0.0,0.0,cargo,unknown,unknown,
80,1923-12-23 02:30:00,1923,12,Sunday,Over the Mediterranean Sea,,MILITARY - FRENCH NAVY,Zeppelin Dixmunde (airship),Zeppelin,Toulon - Algiers,52.0,52.0,0.0,0.0,military,unknown,Weather conditions,"crashed while on a flight from toulon, france to algiers, algeria.  the last known radio contact reported the ship nearly out of fuel and battling strong winds.  struck by lightning."
81,1923-12-24 00:00:00,1923,12,Monday,Egbert, WY,US AERIAL MAIL SERVICE,De Havilland DH-4,Havilland,,1.0,1.0,0.0,0.0,cargo,unknown,unknown,
82,1924-03-07 00:00:00,1924,3,Friday,Grampian, Pennsylvania,US AERIAL MAIL SERVICE,De Havilland DH-4,Havilland,,1.0,1.0,0.0,0.0,cargo,unknown,unknown,
83,1924-04-24 00:00:00,1924,4,Thursday,Over the English Channel,,KLM ROYAL DUTCH AIRLINES,Fokker F.III,Fokker,"Lympne, England - Rotterdam, The Netherlands",3.0,3.0,0.0,0.0,passenger,unknown,unknown,
84,1924-06-08 00:00:00,1924,6,Sunday,Barranquilla, Colombia,SCADTA,Junkers F-13,Junkers,,3.0,3.0,0.0,0.0,passenger,unknown,unknown,
85,1924-08-01 00:00:00,1924,8,Friday,United States,,US AERIAL MAIL SERVICE,De Havilland DH-4,Havilland,,1.0,1.0,0.0,0.0,cargo,unknown,unknown,
86,1924-11-06 00:00:00,1924,11,Thursday,Cabrerolles, France,GRANDS EXPRESS AERIENS,,,,1.0,1.0,0.0,0.0,cargo,unknown,unknown,
87,1924-12-21 00:00:00,1924,12,Sunday,Goshen, Indiana,US AERIAL MAIL SERVICE,De Havilland DH-4,Havilland,,1.0,1.0,0.0,0.0,cargo,unknown,unknown,
88,1924-12-24 00:00:00,1924,12,Wednesday,Purley, England,IMPERIAL AIRWAYS,de Havilland DH-34B,Havilland,,8.0,8.0,0.0,0.0,passenger,While landing,unknown,"shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. fuel starvation. captain stewart and seven passengers were killed in an attempted forced landing."
89,1925-03-22 00:00:00,1925,3,Sunday,Near Tiflies, Georgia,ZAKAVIA,Junkers F-13,Junkers,,5.0,5.0,0.0,0.0,passenger,unknown,unknown,
90,1925-04-25 00:00:00,1925,4,Saturday,Alicante, Spain,GRANDS EXPRESS AERIENS,Breguet 14,Breguet,,4.0,4.0,0.0,0.0,cargo,unknown,unknown,
91,1925-05-25 00:00:00,1925,5,Monday,Alicante, Spain,LIGNES AERIENNES LATECOERE,Breguet 14,Breguet,,2.0,2.0,0.0,0.0,passenger,unknown,unknown,
92,1925-06-25 00:00:00,1925,6,Thursday,Landrécies, France,KLM ROYAL DUTCH AIRLINES,Fokker (KLM)  F.III,Fokker,,4.0,4.0,0.0,0.0,passenger,unknown,Weather conditions,crashed in poor weather.
93,1925-06-26 00:00:00,1925,6,Friday,Alicante, Spain,GRANDS EXPRESS AERIENS,Lioré-et-Olivier H-13,Lioré-et-Olivier,,2.0,2.0,0.0,0.0,cargo,unknown,unknown,
94,1925-07-20 00:00:00,1925,7,Monday,Rosas, Spain,LIGNES AERIENNES LATECOERE,Breguet 14,Breguet,,1.0,1.0,0.0,0.0,passenger,unknown,unknown,
95,1925-07-24 00:00:00,1925,7,Friday,Budapest, Hungary,CIDNA,Potez IX,Potez,,1.0,1.0,0.0,0.0,passenger,unknown,unknown,
96,1925-09-03 05:30:00,1925,9,Thursday,Caldwell, Ohio,MILITARY - U.S. NAVY,Dirigible ZR-1 Shenandoah (airship),Dirigible,"Lakehurst, NJ - S.t Louis, MO",43.0,14.0,0.0,29.0,military,unknown,Weather conditions,"the shenandoah was flying over southern ohio when she abruptly encountered violent atmosphericonditions (thunderstorms). powerful air currents buffeted her so severely that her crew was unable to maintain control. rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. the stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon."
97,1925-09-07 00:00:00,1925,9,Monday,Toul, France,CIDNA,,,,3.0,3.0,0.0,0.0,passenger,unknown,unknown,
98,1925-11-14 00:00:00,1925,11,Saturday,Off Boulogne-sur-Mer, France,AIR UNION,Farman F-60 Goliath,Farman,,2.0,2.0,0.0,0.0,passenger,unknown,unknown,
99,1926-02-12 00:00:00,1926,2,Friday,Montpelier, Ohio,US AERIAL MAIL SERVICE,Curtiss Carrier Pigeon,Curtiss,,1.0,1.0,0.0,0.0,cargo,unknown,unknown,
100,1926-03-08 00:00:00,1926,3,Monday,Staaken, Germany,DEUTCHE LUFTHANSA,Junkers F-13,Junkers,,1.0,1.0,0.0,0.0,passenger,unknown,unknown,
101,1926-05-31 00:00:00,1926,5,Monday,English Channel,,AIR UNION,Breguet 14,Breguet,,1.0,1.0,0.0,0.0,passenger,unknown,unknown,
102,1926-07-03 00:00:00,1926,7,Saturday,Rossaugpt, Czechoslovakia,COMPAGNIE INTERNATIONALE DE NAVIGATION AÉRIENNE,Caudron C-61,Caudron,Paris - Prague,7.0,7.0,0.0,0.0,passenger,While en route,unknown,crashed while en route.
103,1926-07-09 00:00:00,1926,7,Friday,Wolvertem, Belgium,KLM ROYAL DUTCH AIRLINES,Fokker F-4,Fokker,,2.0,2.0,0.0,0.0,passenger,unknown,unknown,
104,1926-07-24 00:00:00,1926,7,Saturday,Juist, Germany,DEUTSCHE LUFTHANSA,Junkers F-13,Junkers,,4.0,4.0,0.0,0.0,passenger,unknown,Weather conditions,weather related.
105,1926-08-18 00:00:00,1926,8,Wednesday,Hurst, Kent,AIR UNION,Bleriot 155,Bleriot,,4.0,4.0,0.0,0.0,passenger,unknown,Weather conditions,crashed in adverse weather conditions.  engine failure.
106,1926-09-26 00:00:00,1926,9,Sunday,New York, New York,,Sikorsky S-25,Sikorsky,New York - Paris,5.0,2.0,0.0,3.0,passenger,While landing,unknown,too much weight caused the landing gear to collapse as the plane took off for paris on the first trans-atlantipassenger flight.
107,1926-10-08 00:00:00,1926,10,Friday,Bueren, Germany,DEUTSCHE LUFTHANSA,Fokker FG III,Fokker,,4.0,4.0,0.0,0.0,passenger,unknown,Weather conditions,weather related.
108,1926-10-21 13:15:00,1926,10,Thursday,English Channel,,IMPERIAL AIRWAYS,Handley Page W-10,Handley,,12.0,0.0,0.0,12.0,passenger,unknown,Pilot error,"the plane was on a flight from london to paris when power was lost to the starboard engine. the aircraft began to lose altitude until it eventually ditched into the sea about 18 miles from the english coast. the plane stayed afloat long enough for the fishing boat invicta, piloted by captain marshall, to rescue all aboard. the plane was named prince henry."
109,1926-11-11 00:00:00,1926,11,Thursday,Cape Bojador, Morocco,GRANDS EXPRESS AERIENS,Breguet 14,Breguet,,3.0,3.0,0.0,0.0,cargo,unknown,unknown,
110,1926-12-16 00:00:00,1926,12,Thursday,Medford, Oregon,PACIFIAIR TRANSPORT,Ryan M-1,Ryan,,1.0,1.0,0.0,0.0,cargo,unknown,unknown,
111,1927-01-12 00:00:00,1927,1,Wednesday,Lille, France,KLM ROYAL DUTCH AIRLINES,Fokker F-VII,Fokker,,2.0,2.0,0.0,0.0,passenger,unknown,unknown,
112,1927-03-20 00:00:00,1927,3,Sunday,Rabat, Morocco,GRANDS EXPRESS AERIENS,Breguet 14,Breguet,,1.0,1.0,0.0,0.0,cargo,unknown,unknown,
113,1927-03-24 00:00:00,1927,3,Thursday,Tambo, Qld,QANTAS,de Havilland DH-9C,Havilland,,3.0,3.0,0.0,0.0,passenger,While landing,unknown,stalled at low altitiude on approach to land
114,1927-04-15 00:00:00,1927,4,Friday,King Hill, Idaho,VARNEY AIR LINES,,,,1.0,1.0,0.0,0.0,passenger,unknown,Engine failure,crashed after an unsuccessful attempt at fly into strong headwinds. the engine quit and the plane nosedived into the ground.
115,1927-04-22 00:00:00,1927,4,Friday,Goshen, Indiana,US AERIAL MAIL SERVICE,Douglas M-4,Douglas,,1.0,1.0,0.0,0.0,cargo,unknown,unknown,
116,1927-04-22 00:00:00,1927,4,Friday,Floh, Germany,DEUTSCHE LUFTHANSA,Fokker FG III,Fokker,,2.0,2.0,0.0,0.0,passenger,unknown,Engine failure,engine failure.
117,1927-05-02 00:00:00,1927,5,Monday,Algiers, Algeria,AIR UNION,SPCA Meteore 63,SPCA,,3.0,1.0,0.0,2.0,passenger,unknown,unknown,
118,1927-07-27 00:00:00,1927,7,Wednesday,Amoneburg, Germany,DEUTSCHE LUFTHANSA,Junkers F-13,Junkers,,5.0,5.0,0.0,0.0,passenger,unknown,Engine failure,engine failure.
119,1927-08-22 08:30:00,1927,8,Monday,Sevenoaks, England,KLM ROYAL DUTCH AIRLINES,Fokker F-VIII,Fokker,Croydon - Schiphol,11.0,1.0,0.0,10.0,passenger,While landing,Engine failure,"a broken wire led to the partial loss of the the rudder and a crash landing which resulted in the aircraft striking a tree, killing the flight engineer."
120,1927-09-03 00:00:00,1927,9,Saturday,Willington, Connecticut,COLONIAL AIR TRANSPORT,Fokker Universal,Fokker,,1.0,1.0,0.0,0.0,cargo,unknown,unknown,
121,1927-09-17 00:00:00,1927,9,Saturday,Hadley, New Jersey,REYNOLDS AIRWAYS,Fokker F-VII,Fokker,Sightseeing,12.0,7.0,0.0,5.0,passenger,unknown,Pilot error,the sightseeing plane took off and rose to 400 ft. when the engine failed.  the plane stalled and plunged to the ground in an apple orchard. engine failure. the pilot was not familiar with the type of aircraft.
122,1927-09-22 00:00:00,1927,9,Thursday,Saale, Germany,DEUTSCHE LUFTHANSA,BFW M-18,BFW,,4.0,2.0,0.0,2.0,passenger,unknown,Engine failure,engine failure.
123,1927-09-23 10:00:00,1927,9,Friday,Schleiz, Germany,DEUTSCHE LUFTHANSA,Dornier Merkur,Dornier,Berlin - Munich,6.0,6.0,0.0,0.0,passenger,unknown,unknown,broken wing strut.
124,1927-10-06 00:00:00,1927,10,Thursday,Thies, Mauritania,LIGNES AERIENNES LATECOERE,Breguet 14,Breguet,,2.0,2.0,0.0,0.0,passenger,unknown,unknown,
125,1927-10-30 00:00:00,1927,10,Sunday,New Brunswick, New Jersey,COLONIAL AIR TRANSPORT,Fairchild FC-2,Fairchild,,4.0,4.0,0.0,0.0,cargo,unknown,unknown,went into a tailspin and crashed into a corn field
